Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
East St. Louis,City,"18,469",13.919,36.05,"1,326.9/sq mi (512.3/km2)"
Franklin Park,Village,"18,467",4.772,12.36,"3,869.9/sq mi (1,494.2/km2)"
North Aurora,Village,"18,261",7.557,19.57,"2,416.4/sq mi (933.0/km2)"
Shorewood,Village,"18,186",8.069,20.9,"2,253.8/sq mi (870.2/km2)"
Bourbonnais,Village,"18,164",9.312,24.12,"1,950.6/sq mi (753.1/km2)"
Cary,Village,"17,826",6.232,16.14,"2,860.4/sq mi (1,104.4/km2)"
Godfrey,Village,"17,825",34.395,89.08,518.2/sq mi (200.1/km2)
Lemont,Village,"17,629",8.321,21.55,"2,118.6/sq mi (818.0/km2)"
Jacksonville,City,"17,616",10.563,27.36,"1,667.7/sq mi (643.9/km2)"
Hinsdale,Village,"17,395",4.623,11.97,"3,762.7/sq mi (1,452.8/km2)"
Charleston,City,"17,286",8.884,23.01,"1,945.7/sq mi (751.3/km2)"
Morton,Village,"17,117",12.808,33.17,"1,336.4/sq mi (516.0/km2)"
Bridgeview,Village,"17,027",4.133,10.7,"4,119.8/sq mi (1,590.7/km2)"
Westchester,Village,"16,892",3.686,9.55,"4,582.7/sq mi (1,769.4/km2)"
Mattoon,City,"16,870",10.314,26.71,"1,635.6/sq mi (631.5/km2)"
Marion,City,"16,855",14.392,37.28,"1,171.1/sq mi (452.2/km2)"
Country Club Hills,City,"16,775",4.97,12.87,"3,375.3/sq mi (1,303.2/km2)"
Fairview Heights,City,"16,706",11.431,29.61,"1,461.5/sq mi (564.3/km2)"
La Grange,Village,"16,321",2.525,6.54,"6,463.8/sq mi (2,495.7/km2)"
Washington,City,"16,071",8.541,22.12,"1,881.6/sq mi (726.5/km2)"
Prospect Heights,City,"16,058",4.256,11.02,"3,773.0/sq mi (1,456.8/km2)"
Bradley,Village,"15,419",6.932,17.95,"2,224.3/sq mi (858.8/km2)"
Dixon,City,"15,274",7.752,20.08,"1,970.3/sq mi (760.7/km2)"
Norridge,Village,"15,251",1.808,4.68,"8,435.3/sq mi (3,256.9/km2)"
Macomb,City,"15,051",10.57,27.38,"1,423.9/sq mi (549.8/km2)"
Sterling,City,"14,764",5.791,15,"2,549.5/sq mi (984.4/km2)"
Antioch,Village,"14,622",8.213,21.27,"1,780.3/sq mi (687.4/km2)"
Mount Vernon,City,"14,600",14.583,37.77,"1,001.2/sq mi (386.6/km2)"
Hickory Hills,City,"14,505",2.844,7.37,"5,100.2/sq mi (1,969.2/km2)"
Chicago Ridge,Village,"14,433",2.268,5.87,"6,363.8/sq mi (2,457.1/km2)"
Lindenhurst,Village,"14,406",4.527,11.72,"3,182.2/sq mi (1,228.7/km2)"
Swansea,Village,"14,386",6.477,16.78,"2,221.1/sq mi (857.6/km2)"
Chatham,Village,"14,377",7.364,19.07,"1,952.3/sq mi (753.8/km2)"
Forest Park,Village,"14,339",2.402,6.22,"5,969.6/sq mi (2,304.9/km2)"
Midlothian,Village,"14,325",2.819,7.3,"5,081.6/sq mi (1,962.0/km2)"
Beach Park,Village,"14,249",7.079,18.33,"2,012.9/sq mi (777.2/km2)"
Morris,City,"14,163",9.909,25.66,"1,429.3/sq mi (551.9/km2)"
Shiloh,Village,"14,098",11.032,28.57,"1,277.9/sq mi (493.4/km2)"
Wauconda,Village,"14,084",5.072,13.14,"2,776.8/sq mi (1,072.1/km2)"
Wood Dale,City,"14,012",4.783,12.39,"2,929.5/sq mi (1,131.1/km2)"
Glen Carbon,Village,"13,842",10.25,26.55,"1,350.4/sq mi (521.4/km2)"
Western Springs,Village,"13,629",2.785,7.21,"4,893.7/sq mi (1,889.5/km2)"
Warrenville,City,"13,553",5.46,14.14,"2,482.2/sq mi (958.4/km2)"
