Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
New Holland,Village,275,0.31,0.8,887.1/sq mi (342.5/km2)
McNabb,Village,275,0.177,0.46,"1,553.7/sq mi (599.9/km2)"
Hindsboro,Village,275,0.269,0.7,"1,022.3/sq mi (394.7/km2)"
Elliott,Village,274,0.498,1.29,550.2/sq mi (212.4/km2)
Compton,Village,274,0.158,0.41,"1,734.2/sq mi (669.6/km2)"
Brocton,Village,273,0.572,1.48,477.3/sq mi (184.3/km2)
Plainville,Village,271,0.235,0.61,"1,153.2/sq mi (445.2/km2)"
Lisbon,Village,271,2.117,5.48,128.0/sq mi (49.4/km2)
East Gillespie,Village,269,0.319,0.83,843.3/sq mi (325.6/km2)
Victoria,Village,268,0.451,1.17,594.2/sq mi (229.4/km2)
Sawyerville,Village,268,0.988,2.56,271.3/sq mi (104.7/km2)
Freeman Spur,Village,268,0.399,1.03,671.7/sq mi (259.3/km2)
Kingston Mines,Village,266,1.444,3.74,184.2/sq mi (71.1/km2)
Henderson,Village,266,0.265,0.69,"1,003.8/sq mi (387.6/km2)"
Cedar Point,Village,266,1.021,2.64,260.5/sq mi (100.6/km2)
Manchester,Village,265,1.063,2.75,249.3/sq mi (96.3/km2)
Kilbourne,Village,265,0.889,2.3,298.1/sq mi (115.1/km2)
Ivesdale,Village,265,0.716,1.85,370.1/sq mi (142.9/km2)
Hartsburg,Village,262,0.15,0.39,"1,746.7/sq mi (674.4/km2)"
Dunfermline,Village,262,0.147,0.38,"1,782.3/sq mi (688.2/km2)"
Allerton,Village,262,0.679,1.76,385.9/sq mi (149.0/km2)
Mapleton,Village,261,0.885,2.29,294.9/sq mi (113.9/km2)
Rutland,Village,259,0.694,1.8,373.2/sq mi (144.1/km2)
Addieville,Village,259,0.993,2.57,260.8/sq mi (100.7/km2)
McClure,Village,256,1.528,3.96,167.5/sq mi (64.7/km2)
Magnolia,Village,256,0.313,0.81,817.9/sq mi (315.8/km2)
Cisco,Village,254,0.182,0.47,"1,395.6/sq mi (538.8/km2)"
Donovan,Village,251,0.328,0.85,765.2/sq mi (295.5/km2)
McCook,Village,249,2.614,6.77,95.3/sq mi (36.8/km2)
Woodland,Village,248,0.49,1.27,506.1/sq mi (195.4/km2)
Bellmont,Village,247,0.325,0.84,760.0/sq mi (293.4/km2)
Buckingham,Village,244,0.251,0.65,972.1/sq mi (375.3/km2)
Bush,Village,241,0.455,1.18,529.7/sq mi (204.5/km2)
Ste. Marie,Village,238,1.109,2.87,214.6/sq mi (82.9/km2)
Richview,Village,238,1.149,2.98,207.1/sq mi (80.0/km2)
Vergennes,Village,235,0.352,0.91,667.6/sq mi (257.8/km2)
Kangley,Village,235,0.261,0.68,900.4/sq mi (347.6/km2)
Oakford,Village,234,0.249,0.64,939.8/sq mi (362.8/km2)
Gladstone,Village,234,0.36,0.93,650.0/sq mi (251.0/km2)
Alvin,Village,233,0.793,2.05,293.8/sq mi (113.4/km2)
Cabery,Village,231,0.344,0.89,671.5/sq mi (259.3/km2)
Steward,Village,229,0.269,0.7,851.3/sq mi (328.7/km2)
Kappa,Village,229,0.357,0.92,641.5/sq mi (247.7/km2)
Cave-In-Rock,Village,228,0.374,0.97,609.6/sq mi (235.4/km2)
Indianola,Village,227,0.388,1,585.1/sq mi (225.9/km2)
Lerna,Village,226,0.115,0.3,"1,965.2/sq mi (758.8/km2)"
Troy Grove,Village,225,0.687,1.78,327.5/sq mi (126.5/km2)
Standard,Village,225,0.711,1.84,316.5/sq mi (122.2/km2)
Stonefort,Village,224,1.454,3.77,154.1/sq mi (59.5/km2)
Forest City,Village,222,0.523,1.35,424.5/sq mi (163.9/km2)
Plattville,Village,220,2.259,5.85,97.4/sq mi (37.6/km2)
Elizabethtown,Village,220,0.705,1.83,312.1/sq mi (120.5/km2)
Maquon,Village,218,0.162,0.42,"1,345.7/sq mi (519.6/km2)"
Gays,Village,218,0.386,1,564.8/sq mi (218.1/km2)
Cypress,Village,217,0.753,1.95,288.2/sq mi (111.3/km2)
Palmer,Village,216,0.995,2.58,217.1/sq mi (83.8/km2)
Thawville,Village,215,0.307,0.8,700.3/sq mi (270.4/km2)
Seaton,Village,214,1.579,4.09,135.5/sq mi (52.3/km2)
Sammons Point,Village,214,1.851,4.79,115.6/sq mi (44.6/km2)
Milton,Village,214,0.386,1,554.4/sq mi (214.1/km2)
Curran,Village,213,1.975,5.12,107.8/sq mi (41.6/km2)
White City,Village,212,1.212,3.14,174.9/sq mi (67.5/km2)
Bulpitt,Village,212,0.069,0.18,"3,072.5/sq mi (1,186.3/km2)"
Menominee,Village,211,1.914,4.96,110.2/sq mi (42.6/km2)
Montrose,Village,210,0.637,1.65,329.7/sq mi (127.3/km2)
Henning,Village,210,1.524,3.95,137.8/sq mi (53.2/km2)
Bardolph,Village,210,0.617,1.6,340.4/sq mi (131.4/km2)
Rio,Village,209,0.312,0.81,669.9/sq mi (258.6/km2)
Owaneco,Village,209,0.458,1.19,456.3/sq mi (176.2/km2)
Omaha,Village,209,0.744,1.93,280.9/sq mi (108.5/km2)
Verona,Village,208,0.165,0.43,"1,260.6/sq mi (486.7/km2)"
Thebes,Village,208,1.745,4.52,119.2/sq mi (46.0/km2)
Buncombe,Village,207,1.187,3.07,174.4/sq mi (67.3/km2)
Wellington,Village,206,0.238,0.62,865.5/sq mi (334.2/km2)
Mineral,Village,206,0.553,1.43,372.5/sq mi (143.8/km2)
Long Point,Village,204,0.185,0.48,"1,102.7/sq mi (425.8/km2)"
Vermilion,Village,203,0.546,1.41,371.8/sq mi (143.6/km2)
Clear Lake[b],Village,203,0.092,0.24,"2,206.5/sq mi (851.9/km2)"
Nilwood,Town,201,0.465,1.2,432.3/sq mi (166.9/km2)
Reddick,Village,199,0.239,0.62,832.6/sq mi (321.5/km2)
Oakdale,Village,199,1.582,4.1,125.8/sq mi (48.6/km2)
Nason,City,199,0.911,2.36,218.4/sq mi (84.3/km2)
Jewett,Village,196,1.005,2.6,195.0/sq mi (75.3/km2)
Alsey,Village,195,0.549,1.42,355.2/sq mi (137.1/km2)
Lake Ka-Ho,Village,194,0.284,0.74,683.1/sq mi (263.7/km2)
Smithfield,Village,191,0.465,1.2,410.8/sq mi (158.6/km2)
Kinderhook,Village,189,0.808,2.09,233.9/sq mi (90.3/km2)
Shumway,Village,188,0.332,0.86,566.3/sq mi (218.6/km2)
Parkersburg,Village,186,0.826,2.14,225.2/sq mi (86.9/km2)
Broughton,Village,185,1.89,4.9,97.9/sq mi (37.8/km2)
Ellsworth,Village,184,0.217,0.56,847.9/sq mi (327.4/km2)
Williamson,Village,183,1.171,3.03,156.3/sq mi (60.3/km2)
Radom,Village,183,1.048,2.71,174.6/sq mi (67.4/km2)
Caledonia,Village,183,1.035,2.68,176.8/sq mi (68.3/km2)
Modesto,Village,182,0.559,1.45,325.6/sq mi (125.7/km2)
Waggoner,Village,181,0.244,0.63,741.8/sq mi (286.4/km2)
Spillertown,Village,181,0.321,0.83,563.9/sq mi (217.7/km2)
Bone Gap,Village,181,0.583,1.51,310.5/sq mi (119.9/km2)
Hooppole,Village,180,0.372,0.96,483.9/sq mi (186.8/km2)
Harvel,Village,178,0.718,1.86,247.9/sq mi (95.7/km2)
Mill Shoals,Village,176,0.767,1.99,229.5/sq mi (88.6/km2)
Kempton,Village,176,0.165,0.43,"1,066.7/sq mi (411.8/km2)"
Fieldon,Village,176,0.202,0.52,871.3/sq mi (336.4/km2)
Rockbridge,Village,175,0.737,1.91,237.4/sq mi (91.7/km2)
New Minden,Village,175,0.277,0.72,631.8/sq mi (243.9/km2)
Du Bois,Village,175,1.052,2.72,166.3/sq mi (64.2/km2)
Keensburg,Village,174,0.26,0.67,669.2/sq mi (258.4/km2)
Norris,Village,173,0.283,0.73,611.3/sq mi (236.0/km2)
Kell,Village,173,1.002,2.6,172.7/sq mi (66.7/km2)
Gorham,Village,173,1.219,3.16,141.9/sq mi (54.8/km2)
Willow Hill,Village,172,1.039,2.69,165.5/sq mi (63.9/km2)
Baylis,Village,172,0.471,1.22,365.2/sq mi (141.0/km2)
Chesterfield,Village,170,0.541,1.4,314.2/sq mi (121.3/km2)
Batchtown,Village,170,1.863,4.83,91.3/sq mi (35.2/km2)
Banner,Village,169,1.29,3.34,131.0/sq mi (50.6/km2)
Arlington,Village,169,0.395,1.02,427.8/sq mi (165.2/km2)
Colp,Village,168,0.134,0.35,"1,253.7/sq mi (484.1/km2)"
Bryant,Village,168,0.248,0.64,677.4/sq mi (261.6/km2)
Royal Lakes,Village,167,0.466,1.21,358.4/sq mi (138.4/km2)
Coleta,Village,167,0.37,0.96,451.4/sq mi (174.3/km2)
Sims,Village,166,1.182,3.06,140.4/sq mi (54.2/km2)
Calhoun,Village,164,0.912,2.36,179.8/sq mi (69.4/km2)
Butler,Village,164,0.596,1.54,275.2/sq mi (106.2/km2)
St. Johns,Village,163,0.725,1.88,224.8/sq mi (86.8/km2)
Cleveland,Village,163,0.294,0.76,554.4/sq mi (214.1/km2)
Anchor,Village,163,0.171,0.44,953.2/sq mi (368.0/km2)
Old Mill Creek,Village,162,10.671,27.64,15.2/sq mi (5.9/km2)
North Henderson,Village,162,0.226,0.59,716.8/sq mi (276.8/km2)
Dana,Village,162,0.22,0.57,736.4/sq mi (284.3/km2)
Claremont,Village,161,0.793,2.05,203.0/sq mi (78.4/km2)
La Fayette,Village,160,0.189,0.49,846.6/sq mi (326.9/km2)
Huey,Village,160,0.216,0.56,740.7/sq mi (286.0/km2)
De Witt,Village,160,0.237,0.61,675.1/sq mi (260.7/km2)
Muncie,Village,157,0.179,0.46,877.1/sq mi (338.6/km2)
Cooksville,Village,157,0.217,0.56,723.5/sq mi (279.3/km2)
Smithboro,Village,154,0.932,2.41,165.2/sq mi (63.8/km2)
Pulaski,Village,154,1.31,3.39,117.6/sq mi (45.4/km2)
New Burnside,Village,153,1.045,2.71,146.4/sq mi (56.5/km2)
Donnellson,Village,153,0.37,0.96,413.5/sq mi (159.7/km2)
New Grand Chain,Village,150,1.043,2.7,143.8/sq mi (55.5/km2)
Maeystown,Village,150,0.298,0.77,503.4/sq mi (194.3/km2)
Concord,Village,150,0.249,0.64,602.4/sq mi (232.6/km2)
Coatsburg,Village,150,0.132,0.34,"1,136.4/sq mi (438.8/km2)"
Hettick,Village,149,0.365,0.95,408.2/sq mi (157.6/km2)
Eldred,Village,149,0.134,0.35,"1,111.9/sq mi (429.3/km2)"
Campus,Village,149,0.092,0.24,"1,619.6/sq mi (625.3/km2)"
Lima,Village,148,0.135,0.35,"1,096.3/sq mi (423.3/km2)"
Elvaston,Village,147,0.799,2.07,184.0/sq mi (71.0/km2)
Cantrall,Village,144,0.25,0.65,576.0/sq mi (222.4/km2)
Sauget,Village,141,4.581,11.86,30.8/sq mi (11.9/km2)
Oconee,Village,141,0.356,0.92,396.1/sq mi (152.9/km2)
Berlin,Village,141,0.891,2.31,158.2/sq mi (61.1/km2)
West Point,Village,140,0.168,0.44,833.3/sq mi (321.8/km2)
Metcalf,Village,139,0.594,1.54,234.0/sq mi (90.4/km2)
Littleton,Village,139,1.168,3.03,119.0/sq mi (45.9/km2)
Browns,Village,139,0.29,0.75,479.3/sq mi (185.1/km2)
Redmon,Village,137,0.145,0.38,944.8/sq mi (364.8/km2)
Broadwell,Village,136,0.18,0.47,755.6/sq mi (291.7/km2)
Standard City,Village,135,0.636,1.65,212.3/sq mi (82.0/km2)
Dover,Village,135,0.28,0.73,482.1/sq mi (186.2/km2)
Papineau,Village,133,0.208,0.54,639.4/sq mi (246.9/km2)
Iroquois,Village,133,0.567,1.47,234.6/sq mi (90.6/km2)
Dorchester,Village,133,0.722,1.87,184.2/sq mi (71.1/km2)
Allenville,Village,132,0.609,1.58,216.7/sq mi (83.7/km2)
West Brooklyn,Village,131,0.085,0.22,"1,541.2/sq mi (595.1/km2)"
Symerton,Village,128,0.157,0.41,815.3/sq mi (314.8/km2)
Nelson,Village,127,0.216,0.56,588.0/sq mi (227.0/km2)
Ferris,Village,127,1.967,5.09,64.6/sq mi (24.9/km2)
Ridott,Village,124,0.074,0.19,"1,675.7/sq mi (647.0/km2)"
Garrett,Village,122,0.108,0.28,"1,129.6/sq mi (436.2/km2)"
Venedy,Village,121,0.281,0.73,430.6/sq mi (166.3/km2)
New Salem,Village,121,1.049,2.72,115.3/sq mi (44.5/km2)
Media,Village,121,1.698,4.4,71.3/sq mi (27.5/km2)
Leonore,Village,121,0.089,0.23,"1,359.6/sq mi (524.9/km2)"
St. Augustine,Village,119,0.593,1.54,200.7/sq mi (77.5/km2)
Mound Station,Village,117,0.519,1.34,225.4/sq mi (87.0/km2)
Browning,Village,117,0.31,0.8,377.4/sq mi (145.7/km2)
Brussels,Village,116,0.558,1.45,207.9/sq mi (80.3/km2)
Eagarville,Village,114,0.911,2.36,125.1/sq mi (48.3/km2)
Columbus,Village,114,0.219,0.57,520.5/sq mi (201.0/km2)
Old Shawneetown,Village,113,0.51,1.32,221.6/sq mi (85.5/km2)
Glasgow,Village,113,1.011,2.62,111.8/sq mi (43.2/km2)
Bishop Hill,Village,113,0.532,1.38,212.4/sq mi (82.0/km2)
Longview,Village,112,0.247,0.64,453.4/sq mi (175.1/km2)
Hidalgo,Village,111,0.344,0.89,322.7/sq mi (124.6/km2)
Harmon,Village,111,0.149,0.39,745.0/sq mi (287.6/km2)
Ohlman,Village,109,0.322,0.83,338.5/sq mi (130.7/km2)
Stoy,Village,108,0.932,2.41,115.9/sq mi (44.7/km2)
Nora,Village,107,0.83,2.15,128.9/sq mi (49.8/km2)
Vernon,Village,103,0.882,2.28,116.8/sq mi (45.1/km2)
Pearl,Village,103,1.505,3.9,68.4/sq mi (26.4/km2)
Raritan,Village,102,0.095,0.25,"1,073.7/sq mi (414.6/km2)"
Jeisyville,Village,102,0.122,0.32,836.1/sq mi (322.8/km2)
Tennessee,Village,101,0.425,1.1,237.6/sq mi (91.8/km2)
Strawn,Village,101,0.51,1.32,198.0/sq mi (76.5/km2)
Springerton,Village,101,0.126,0.33,801.6/sq mi (309.5/km2)
Marietta,Village,101,0.273,0.71,370.0/sq mi (142.8/km2)
Emington,Village,101,0.083,0.21,"1,216.9/sq mi (469.8/km2)"
Naples,Town,100,0.605,1.57,165.3/sq mi (63.8/km2)
Pontoosuc,Village,99,1.406,3.64,70.4/sq mi (27.2/km2)
Hamburg,Village,99,0.522,1.35,189.7/sq mi (73.2/km2)
Eddyville,Village,99,0.281,0.73,352.3/sq mi (136.0/km2)
Russellville,Village,98,0.4,1.04,245.0/sq mi (94.6/km2)
Mount Erie,Village,98,0.384,0.99,255.2/sq mi (98.5/km2)
La Rose,Village,98,0.255,0.66,384.3/sq mi (148.4/km2)
Iola,Village,98,0.964,2.5,101.7/sq mi (39.3/km2)
Wheeler,Village,96,0.576,1.49,166.7/sq mi (64.4/km2)
Lynnville,Village,96,0.077,0.2,"1,246.8/sq mi (481.4/km2)"
Fidelity,Village,96,0.101,0.26,950.5/sq mi (367.0/km2)
Walnut Hill,Village,95,0.38,0.98,250.0/sq mi (96.5/km2)
Liverpool,Village,94,0.084,0.22,"1,119.0/sq mi (432.1/km2)"
Hillview,Village,94,0.816,2.11,115.2/sq mi (44.5/km2)
Scottville,Village,93,0.997,2.58,93.3/sq mi (36.0/km2)
Wilmington,Village,91,0.786,2.04,115.8/sq mi (44.7/km2)
Maunie,Village,91,0.159,0.41,572.3/sq mi (221.0/km2)
Kinsman,Village,90,0.068,0.18,"1,323.5/sq mi (511.0/km2)"
Sailor Springs,Village,89,0.26,0.67,342.3/sq mi (132.2/km2)
Rose Hill,Village,89,0.634,1.64,140.4/sq mi (54.2/km2)
Belknap,Village,88,1.057,2.74,83.3/sq mi (32.1/km2)
Otterville,Town,87,1.006,2.61,86.5/sq mi (33.4/km2)
Exeter,Village,87,0.69,1.79,126.1/sq mi (48.7/km2)
Ellisville,Village,87,0.271,0.7,321.0/sq mi (124.0/km2)
Old Ripley,Village,82,0.154,0.4,532.5/sq mi (205.6/km2)
East Brooklyn,Village,80,0.052,0.13,"1,538.5/sq mi (594.0/km2)"
Basco,Village,80,0.222,0.57,360.4/sq mi (139.1/km2)
Adeline,Village,78,0.266,0.69,293.2/sq mi (113.2/km2)
New Bedford,Village,76,0.155,0.4,490.3/sq mi (189.3/km2)
Detroit,Village,76,0.251,0.65,302.8/sq mi (116.9/km2)
Foosland,Village,75,0.069,0.18,"1,087.0/sq mi (419.7/km2)"
Johnsonville,Village,72,0.213,0.55,338.0/sq mi (130.5/km2)
Irwin,Village,68,0.045,0.12,"1,511.1/sq mi (583.4/km2)"
Yale,Village,67,0.575,1.49,116.5/sq mi (45.0/km2)
Golden Gate,Village,65,0.079,0.2,822.8/sq mi (317.7/km2)
El Dara,Village,63,1.011,2.62,62.3/sq mi (24.1/km2)
Camden,Village,62,0.761,1.97,81.5/sq mi (31.5/km2)
Walshville,Village,61,0.257,0.67,237.4/sq mi (91.6/km2)
Muddy,Village,61,0.303,0.78,201.3/sq mi (77.7/km2)
Topeka,Village,60,0.137,0.35,438.0/sq mi (169.1/km2)
Bingham,Village,60,0.274,0.71,219.0/sq mi (84.5/km2)
Mill Creek,Village,59,0.376,0.97,156.9/sq mi (60.6/km2)
Junction,Village,56,0.826,2.14,67.8/sq mi (26.2/km2)
Union Hill,Village,55,0.046,0.12,"1,195.7/sq mi (461.6/km2)"
Ripley,Village,53,0.379,0.98,139.8/sq mi (54.0/km2)
Keenes,Village,50,0.13,0.34,384.6/sq mi (148.5/km2)
Belle Prairie City,Town,49,0.438,1.13,111.9/sq mi (43.2/km2)
Panola,Village,47,0.429,1.11,109.6/sq mi (42.3/km2)
Simpson,Village,44,0.525,1.36,83.8/sq mi (32.4/km2)
La Prairie,Village,42,0.193,0.5,217.6/sq mi (84.0/km2)
Gulfport,Village,42,1.412,3.66,29.7/sq mi (11.5/km2)
Sciota,Village,38,0.312,0.81,121.8/sq mi (47.0/km2)
Deer Grove,Village,38,0.411,1.06,92.5/sq mi (35.7/km2)
Hollowayville,Village,36,0.049,0.13,734.7/sq mi (283.7/km2)
Burnt Prairie,Village,36,0.076,0.2,473.7/sq mi (182.9/km2)
Phillipstown,Village,34,0.27,0.7,125.9/sq mi (48.6/km2)
Wenonah,Village,32,1.514,3.92,21.1/sq mi (8.2/km2)
Rockwood,Village,32,0.212,0.55,150.9/sq mi (58.3/km2)
Macedonia,Village,30,0.266,0.69,112.8/sq mi (43.5/km2)
Bentley,Town,30,0.143,0.37,209.8/sq mi (81.0/km2)
Fults,Village,28,0.053,0.14,528.3/sq mi (204.0/km2)
Time,Village,26,0.254,0.66,102.4/sq mi (39.5/km2)
Kaskaskia,Village,21,0.106,0.27,198.1/sq mi (76.5/km2)
Florence,Village,17,0.276,0.71,61.6/sq mi (23.8/km2)
Valley City,Village,14,0.27,0.7,51.9/sq mi (20.0/km2)
,,,,,
,,,,,
