name,type,pop_2020,LA_sqmi,PD_sqmi
Pingree Grove,Village,"10,365",3.637,"2,849.9"
Highland,City,"9,991",6.751,"1,479.9"
Sauk Village,Village,"9,921",3.992,"2,485.2"
Peru,City,"9,896",9.987,990.9
Winfield,Village,"9,835",3.09,"3,182.8"
Flossmoor,Village,"9,704",3.661,"2,650.6"
Steger,Village,"9,584",3.404,"2,815.5"
LaSalle,City,"9,582",13.457,712.0
Itasca,Village,"9,543",5.022,"1,900.2"
Harvard,City,"9,469",8.355,"1,133.3"
Rochelle,City,"9,446",13.296,710.4
Mahomet,Village,"9,434",9.722,970.4
Manhattan,Village,"9,385",6.681,"1,404.7"
Bethalto,Village,"9,310",7.591,"1,226.5"
Riverside,Village,"9,298",1.978,"4,700.7"
Sugar Grove,Village,"9,278",11.748,789.8
Willowbrook,Village,"9,236",2.572,"3,591.0"
Manteno,Village,"9,210",5.344,"1,723.4"
Lynwood,Village,"9,116",4.964,"1,836.4"
Harwood Heights,Village,"9,065",0.825,"10,987.9"
Hawthorn Woods,Village,"9,062",8.046,"1,126.3"
Monmouth,City,"8,902",4.242,"2,098.5"
Savoy,Village,"8,857",3.233,"2,739.6"
Glencoe,Village,"8,849",3.718,"2,380.0"
Rock Falls,City,"8,789",3.983,"2,206.6"
Mascoutah,City,"8,754",9.578,914.0
Lake Villa,Village,"8,741",6.515,"1,341.7"
Clarendon Hills,Village,"8,702",1.81,"4,807.7"
Olney,City,"8,701",6.931,"1,255.4"
Glenwood,Village,"8,662",3.264,"2,653.8"
Crete,Village,"8,465",9.409,899.7
Long Grove,Village,"8,366",12.387,675.4
Gilberts,Village,"8,366",5.489,"1,524.1"
Jerseyville,City,"8,337",5.237,"1,591.9"
Hillside,Village,"8,320",3.168,"2,626.3"
Paris,City,"8,291",5.676,"1,460.7"
Maryville,Village,"8,221",5.676,"1,448.4"
Harrisburg,City,"8,219",6.612,"1,243.0"
Oak Brook,Village,"8,163",7.959,"1,025.6"
Island Lake,Village,"8,051",3.348,"2,404.7"
Silvis,City,"8,003",4.285,"1,867.7"
Broadview,Village,"7,998",1.777,"4,500.8"
South Beloit,City,"7,989",6.144,"1,300.3"
Lincolnshire,Village,"7,940",4.559,"1,741.6"
Park City,City,"7,885",1.157,"6,815.0"
Rockton,Village,"7,863",6.862,"1,145.9"
Princeton,City,"7,832",8.24,950.5
West Dundee,Village,"7,686",3.637,"2,113.3"
Round Lake Park,Village,"7,680",2.063,"3,722.7"
Hampshire,Village,"7,667",9.505,806.6
Inverness,Village,"7,616",6.534,"1,165.6"
Marengo,City,"7,568",8.536,886.6
Vandalia,City,"7,458",8.147,915.4
North Riverside,Village,"7,426",1.644,"4,517.0"
Salem,City,"7,282",6.991,"1,041.6"
West Frankfort,City,"7,275",4.98,"1,460.8"
Sandwich,City,"7,221",4.736,"1,524.7"
Robinson,City,"7,150",4.699,"1,521.6"
University Park,Village,"7,145",10.727,666.1
Stickney,Village,"7,110",1.924,"3,695.4"
Murphysboro,City,"7,093",5.248,"1,351.6"
Greenville,City,"7,083",6.309,"1,122.7"
Mendota,City,"7,061",5.056,"1,396.6"
Calumet Park,Village,"7,025",1.117,"6,289.2"
Mount Carmel,City,"7,015",4.809,"1,458.7"
Clinton,City,"7,004",3.572,"1,960.8"
Orland Hills,Village,"6,893",1.145,"6,020.1"
Chester,City,"6,814",5.806,"1,173.6"
Benton,City,"6,709",5.48,"1,224.3"
Winthrop Harbor,Village,"6,705",4.637,"1,446.0"
Litchfield,City,"6,605",8.989,734.8
Geneseo,City,"6,539",4.646,"1,407.4"
Countryside,City,"6,420",2.878,"2,230.7"
Johnsburg,Village,"6,355",7.163,887.2
Braidwood,City,"6,194",5.296,"1,169.6"
Lakemoor,Village,"6,182",5.263,"1,174.6"
Elburn,Village,"6,175",3.608,"1,711.5"
Chillicothe,City,"6,128",5.274,"1,161.9"
Volo,Village,"6,122",3.915,"1,563.7"
Mount Zion,Village,"6,019",4.227,"1,423.9"
Metropolis,City,"5,969",6.02,991.5
Beardstown,City,"5,951",3.619,"1,644.4"
Bartonville,Village,"5,945",8.05,738.5
Monticello,City,"5,941",3.852,"1,542.3"
Peoria Heights,Village,"5,908",2.492,"2,370.8"
Hillsboro,City,"5,902",8.262,714.4
Pontoon Beach,Village,"5,876",9.96,590.0
Willow Springs,Village,"5,857",4.155,"1,409.6"
Carterville,City,"5,848",5.266,"1,110.5"
Du Quoin,City,"5,827",6.979,834.9
East Alton,Village,"5,786",5.318,"1,088.0"
Northfield,Village,"5,751",3.23,"1,780.5"
Carlinville,City,"5,710",3.369,"1,694.9"
Coal City,Village,"5,705",5.617,"1,015.7"
Wilmington,City,"5,664",13.803,410.3
Posen,Village,"5,632",1.169,"4,817.8"
Lake Bluff,Village,"5,616",4.075,"1,378.2"
Spring Valley,City,"5,582",7.356,758.8
Spring Grove,Village,"5,487",9.046,606.6
Berkeley,Village,"5,338",1.402,"3,807.4"
Genoa,City,"5,298",2.59,"2,045.6"
Eureka,City,"5,227",2.684,"1,947.5"
Pana,City,"5,199",3.855,"1,348.6"
Monee,Village,"5,128",4.472,"1,146.7"
Lake Barrington,Village,"5,100",5.736,889.1
Milan,Village,"5,097",6.254,815.0
South Barrington,Village,"5,077",7.427,683.6
Highwood,City,"5,074",0.721,"7,037.4"
Pinckneyville,City,"5,066",4.106,"1,233.8"
Staunton,City,"5,054",3.974,"1,271.8"
Poplar Grove,Village,"5,049",7.663,658.9
Colona,City,"5,045",3.818,"1,321.4"
Creve Coeur,Village,"4,934",4.231,"1,166.2"
Hoopeston,City,"4,915",3.686,"1,333.4"
Palos Park,Village,"4,899",6.445,760.1
Fairfield,City,"4,883",4.028,"1,212.3"
Carmi,City,"4,865",2.589,"1,879.1"
Marseilles,City,"4,845",9.08,533.6
Flora,City,"4,803",4.69,"1,024.1"
Olympia Fields,Village,"4,718",2.939,"1,605.3"
Beecher,Village,"4,713",2.728,"1,727.6"
Fox River Grove,Village,"4,702",1.711,"2,748.1"
Lebanon,City,"4,691",2.695,"1,740.6"
Watseka,City,"4,679",2.944,"1,589.3"
Shelbyville,City,"4,674",4.076,"1,146.7"
Sherman,Village,"4,673",3.127,"1,494.4"
Breese,City,"4,641",2.669,"1,738.9"
Tuscola,City,"4,636",2.878,"1,610.8"
Robbins,Village,"4,629",1.449,"3,194.6"
Freeburg,Village,"4,582",6.836,670.3
Stone Park,Village,"4,576",0.344,"13,302.3"
Auburn,City,"4,574",4.124,"1,109.1"
Paxton,City,"4,450",3.036,"1,465.7"
Sullivan,City,"4,413",2.769,"1,593.7"
Caseyville,Village,"4,400",7.266,605.6
Cortland,Town,"4,398",3.649,"1,205.3"
Hometown,City,"4,343",0.479,"9,066.8"
Anna,City,"4,303",3.558,"1,209.4"
Lakewood,Village,"4,283",4.587,933.7
West Peoria,City,"4,263",2.106,"2,024.2"
Centreville[a],City,"4,232",4.167,"1,015.6"
Pittsfield,City,"4,206",4.782,879.5
Lawrenceville,City,"4,164",2.164,"1,924.2"
Peotone,Village,"4,150",2.001,"2,074.0"
Green Oaks,Village,"4,128",3.985,"1,035.9"
Barrington Hills,Village,"4,114",27.004,152.3
Sparta,City,"4,095",11.17,366.6
Kildeer,Village,"4,091",4.23,967.1
Morrison,City,"4,085",2.518,"1,622.3"
Millstadt,Village,"4,071",3.491,"1,166.1"
Indian Head Park,Village,"4,065",0.93,"4,371.0"
Burnham,Village,"4,046",1.855,"2,181.1"
Dwight,Village,"4,032",3.297,"1,222.9"
South Chicago Heights,Village,"4,026",1.581,"2,546.5"
Smithton,Village,"4,006",4.435,903.3
Dupo,Village,"3,996",6.377,626.6
Wonder Lake,Village,"3,973",4.964,800.4
Rosemont,Village,"3,952",1.792,"2,205.4"
Marshall,City,"3,947",3.666,"1,076.7"
Metamora,Village,"3,904",2.263,"1,725.1"
Coal Valley,Village,"3,873",3.112,"1,244.5"
Rochester,Village,"3,863",2.646,"1,459.9"
St. Joseph,Village,"3,810",2.083,"1,829.1"
Red Bud,City,"3,804",2.623,"1,450.2"
Riverwoods,Village,"3,790",3.967,955.4
Byron,City,"3,784",4.65,813.8
Eldorado,City,"3,743",2.503,"1,495.4"
Forsyth,Village,"3,734",3.13,"1,193.0"
Oglesby,City,"3,712",4.992,743.6
Deer Park,Village,"3,681",3.654,"1,007.4"
Fulton,City,"3,647",2.338,"1,559.9"
Fairbury,City,"3,633",1.809,"2,008.3"
Aledo,City,"3,633",2.368,"1,534.2"
Tolono,Village,"3,604",2.061,"1,748.7"
Oregon,City,"3,604",1.927,"1,870.3"
Hainesville,Village,"3,546",1.847,"1,919.9"
Riverton,Village,"3,532",3.121,"1,131.7"
Wadsworth,Village,"3,517",9.857,356.8
Le Roy,City,"3,512",2.404,"1,460.9"
Gibson City,City,"3,475",2.321,"1,497.2"
New Baden,Village,"3,428",1.825,"1,878.4"
Germantown Hills,Village,"3,412",1.636,"2,085.6"
Johnston City,City,"3,384",2.116,"1,599.2"
Galena,City,"3,308",4.492,736.4
South Jacksonville,Village,"3,302",2.273,"1,452.7"
Carlyle,City,"3,253",3.425,949.8
Virden,City,"3,231",1.889,"1,710.4"
Sleepy Hollow,Village,"3,214",2.019,"1,591.9"
North Barrington,Village,"3,171",4.712,673.0
Madison,City,"3,171",13.955,227.2
Gillespie,City,"3,168",1.484,"2,134.8"
Westville,Village,"3,167",1.678,"1,887.4"
East Dundee,Village,"3,152",2.839,"1,110.3"
Georgetown,City,"3,143",1.616,"1,944.9"
Momence,City,"3,117",1.569,"1,986.6"
Nashville,City,"3,105",3.079,"1,008.4"
Rushville,City,"3,005",1.652,"1,819.0"
Dixmoor,Village,"2,973",1.249,"2,380.3"
Havana,City,"2,963",2.776,"1,067.4"
Abingdon,City,"2,951",1.425,"2,070.9"
Winnebago,Village,"2,940",1.934,"1,520.2"
Arcola,City,"2,927",2.023,"1,446.9"
Cherry Valley,Village,"2,905",8.405,345.6
Knoxville,City,"2,901",2.35,"1,234.5"
Mount Morris,Village,"2,861",1.56,"1,834.0"
Heyworth,Village,"2,791",3.026,922.3
Savanna,City,"2,783",2.616,"1,063.8"
Newton,City,"2,777",2.088,"1,330.0"
Lena,Village,"2,772",2.651,"1,045.6"
El Paso,City,"2,756",2.145,"1,284.8"
Hamilton,City,"2,753",3.561,773.1
Oakbrook Terrace,City,"2,751",1.306,"2,106.4"
Bushnell,City,"2,718",2.117,"1,283.9"
Christopher,City,"2,697",1.622,"1,662.8"
Trenton,City,"2,690",1.88,"1,430.9"
Pawnee,Village,"2,678",1.332,"2,010.5"
McLeansboro,City,"2,675",2.817,949.6
Tilton,Village,"2,660",3.788,702.2
Diamond,Village,"2,640",1.9,"1,389.5"
Sumner,City,"2,631",1.398,"1,882.0"
Round Lake Heights,Village,"2,622",0.575,"4,560.0"
Washington Park,Village,"2,592",2.521,"1,028.2"
Marquette Heights,City,"2,541",0.974,"2,608.8"
Kenilworth,Village,"2,514",0.607,"4,141.7"
Davis Junction,Village,"2,512",4.2,598.1
Carthage,City,"2,490",2.491,999.6
Carrollton,City,"2,485",1.902,"1,306.5"
Villa Grove,City,"2,472",1.502,"1,645.8"
Galva,City,"2,470",2.755,896.6
Sheridan,Village,"2,431",2.121,"1,146.2"
Casey,City,"2,404",2.263,"1,062.3"
Farmington,City,"2,389",1.505,"1,587.4"
Thornton,Village,"2,386",2.375,"1,004.6"
Seneca,Village,"2,353",6.417,366.7
Aviston,Village,"2,340",1.6,"1,462.5"
Henry,City,"2,320",1.797,"1,291.0"
White Hall,City,"2,295",2.577,890.6
Polo,City,"2,291",1.334,"1,717.4"
Wayne,Village,"2,286",5.73,399.0
Amboy,City,"2,278",6.368,357.7
Tremont,Village,"2,277",1.12,"2,033.0"
Fairmont City,Village,"2,265",6.205,365.0
Petersburg,City,"2,258",1.562,"1,445.6"
Arthur,Village,"2,231",1.337,"1,668.7"
Elwood,Village,"2,229",13.641,163.4
Brighton,Village,"2,221",1.921,"1,156.2"
Altamont,City,"2,216",1.489,"1,488.2"
Nokomis,City,"2,142",1.261,"1,698.7"
Pecatonica,Village,"2,090",1.283,"1,629.0"
Lexington,City,"2,090",2.047,"1,021.0"
Richmond,Village,"2,089",4.29,486.9
Cambridge,Village,"2,086",1.991,"1,047.7"
Mason City,City,"2,077",1.014,"2,048.3"
Oakwood Hills,Village,"2,076",1.088,"1,908.1"
Fisher,Village,"2,062",1.33,"1,550.4"
Elmwood,City,"2,058",1.396,"1,474.2"
Lewistown,City,"2,041",2,"1,020.5"
Mount Olive,City,"2,015",1.153,"1,747.6"
Rockdale,Village,"2,012",1.411,"1,425.9"
Mount Sterling,City,"2,006",1.108,"1,810.5"
Hinckley,Village,"2,006",0.847,"2,368.4"
Catlin,Village,"1,983",0.849,"2,335.7"
Athens,City,"1,977",1.682,"1,175.4"
Albion,City,"1,971",2.136,922.8
Merrionette Park,Village,"1,969",0.375,"5,250.7"
Prairie Grove,Village,"1,963",5.677,345.8
Roanoke,Village,"1,960",0.939,"2,087.3"
New Athens,Village,"1,955",2.112,925.7
Prophetstown,City,"1,946",1.339,"1,453.3"
Steeleville,Village,"1,930",1.523,"1,267.2"
Minonk,City,"1,928",2.4,803.3
South Roxana,Village,"1,891",2.158,876.3
Sesser,City,"1,888",1.03,"1,833.0"
Mackinaw,Village,"1,879",1.189,"1,580.3"
Lacon,City,"1,878",1.6,"1,173.8"
Bellevue,Village,"1,878",2.224,844.4
Carbon Cliff,Village,"1,846",2.095,881.1
Marissa,Village,"1,833",7.212,254.2
Farmer City,City,"1,828",2.395,763.3
Ford Heights,Village,"1,813",1.946,931.7
Bridgeport,City,"1,800",1.072,"1,679.1"
Somonauk,Village,"1,786",2.488,717.8
Girard,City,"1,785",0.934,"1,911.1"
Hampton,Village,"1,779",1.461,"1,217.7"
Moweaqua,Village,"1,764",2.123,830.9
Orion,Village,"1,754",0.944,"1,858.1"
Hudson,Village,"1,753",0.818,"2,143.0"
Gilman,City,"1,738",2.433,714.3
Cairo,City,"1,733",6.987,248.0
Stockton,Village,"1,728",1.877,920.6
Chenoa,City,"1,720",2.43,707.8
Jonesboro,City,"1,711",2.7,633.7
Phoenix,Village,"1,708",0.464,"3,681.0"
Jerome,Village,"1,692",0.462,"3,662.3"
Carrier Mills,Village,"1,672",1.208,"1,384.1"
Atlanta,City,"1,669",1.249,"1,336.3"
Port Byron,Village,"1,668",2.428,687.0
Kirkland,Village,"1,650",1.226,"1,345.8"
Ina,Village,"1,641",2.405,682.3
Princeville,Village,"1,636",1.695,965.2
De Pue,Village,"1,633",2.775,588.5
Bunker Hill,City,"1,630",1.274,"1,279.4"
Teutopolis,Village,"1,618",2.043,792.0
Earlville,City,"1,613",1.201,"1,343.0"
Thomson,Village,"1,610",2.219,725.6
Dunlap,Village,"1,603",2.308,694.5
Southern View,Village,"1,596",0.647,"2,466.8"
Port Barrington,Village,"1,584",1.16,"1,365.5"
Roodhouse,City,"1,578",1.127,"1,400.2"
Maroa,City,"1,577",1.763,894.5
Winchester,City,"1,574",1.129,"1,394.2"
Delavan,City,"1,568",1.44,"1,088.9"
Alorton[a],Village,"1,566",1.808,866.2
Limestone,Village,"1,558",2.622,594.2
Manito,Village,"1,552",1.513,"1,025.8"
Grayville,City,"1,550",2.127,728.7
Mount Pulaski,City,"1,537",1.134,"1,355.4"
Herscher,Village,"1,521",1.813,838.9
Erie,Village,"1,518",1.38,"1,100.0"
Virginia,City,"1,514",1.207,"1,254.3"
Warsaw,City,"1,510",6.52,231.6
East Dubuque,City,"1,505",2.742,548.9
Cambria,Village,"1,505",1.415,"1,063.6"
Lanark,City,"1,504",1.121,"1,341.7"
Hodgkins,Village,"1,500",2.712,553.1
Venice,City,"1,498",1.849,810.2
Zeigler,City,"1,484",1.359,"1,092.0"
Bement,Village,"1,484",0.778,"1,907.5"
Mount Carroll,City,"1,479",2.003,738.4
North Pekin,Village,"1,478",1.392,"1,061.8"
Benld,City,"1,464",1.06,"1,381.1"
Gridley,Village,"1,456",1.233,"1,180.9"
