name,type,lat,lon,pop_2020,LA_sqmi,PD_sqmi
La Moille,Village,41.5317006,-89.2798104,679,1.156,587.4
Kirkwood,Village,40.8667452,-90.7499415,678,0.939,722.0
Bradford,Village,41.1774952,-89.6578789,676,0.398,1698.5
Alpha,Village,41.1917031,-90.3801274,675,0.309,2184.5
Cordova,Village,41.6803099,-90.319018,671,0.574,1169.0
Kansas,Village,39.5528129,-87.9394779,670,1.022,655.6
Windsor,Village,41.2022584,-90.4423521,668,0.438,1525.1
Watson,Village,39.0253213,-88.5697716,668,1.092,611.7
Deer Creek,Village,40.6298648,-89.3323928,667,0.535,1246.7
Findlay,Village,39.5225372,-88.7536817,664,0.924,718.6
Aroma Park,Village,41.0800105,-87.8093095,664,1.882,352.8
Dalzell,Village,41.3578126,-89.176196,663,0.82,808.5
Cedarville,Village,42.3759906,-89.6331674,663,0.459,1444.4
Mechanicsburg,Village,39.8094911,-89.3973121,662,1.036,639.0
Mounds,City,37.1142176,-89.197853,661,1.207,547.6
Dongola,Village,37.3611615,-89.1659117,661,1.088,607.5
West City,Village,37.9939386,-88.9350692,656,1.608,408.0
Saybrook,Village,40.4267005,-88.5261711,654,0.802,815.5
Brooklyn,Village,38.657181,-90.1670585,649,0.811,800.2
Golden,Village,40.1092135,-91.0176357,648,0.642,1009.3
Coffeen,City,39.0892128,-89.3906379,647,1.161,557.3
Yates City,Village,40.7790141,-90.0153424,642,0.493,1302.2
Clayton,Village,40.0314366,-90.9606897,639,0.884,722.9
Ashmore,Village,39.5330909,-88.0222582,637,0.805,791.3
Bartelso,Village,38.5364382,-89.4664739,635,0.431,1473.3
Cisne,Village,38.5158815,-88.4375481,634,0.63,1006.3
Noble,Village,38.6975481,-88.223653,633,1.017,622.4
Thayer,Village,39.5381087,-89.7631533,632,0.61,1036.1
Green Valley,Village,40.4074718,-89.6429794,630,0.301,2093.0
Golconda,City,37.3672744,-88.4864316,630,0.51,1235.3
Bluford,Village,38.3308817,-88.7258912,630,1.561,403.6
St. Libory,Village,38.362586,-89.71333379989153,628,0.972,646.1
Creston,Village,41.9308618,-88.9645382,627,1.146,547.1
Grafton,City,38.9698503,-90.4314331,626,3.712,168.6
Crossville,Village,38.1617133,-88.0653123,623,0.64,973.4
Alhambra,Village,38.88838,-89.7314813,622,0.756,822.8
Holiday Hills,Village,42.2900226,-88.2248064,618,0.934,661.7
Bluffs,Village,39.7519902,-90.5351258,618,0.893,692.0
Woodlawn,Village,38.3300497,-89.0325693,617,0.852,724.2
Millington,Village,41.5631643,-88.6007342,617,0.708,871.5
New Boston,City,41.1703108,-90.9968113,613,0.941,651.4
Niantic,Village,39.8555597,-89.166454,612,1.039,589.0
Fairmount,Village,40.0455911,-87.8305838,612,0.317,1930.6
Franklin,Village,37.9765409,-88.9335327,610,0.829,735.8
Ursa,Village,40.0747682,-91.3673712,609,0.69,882.6
Palmyra,Village,39.4347699,-89.9959401,605,0.999,605.6
Bedford Park,Village,41.7690519,-87.7770096,602,5.934,101.4
Stanford,Village,40.4347608,-89.2178643,600,0.662,906.3
Hopkins Park,Village,41.0633666,-87.6250348,597,4.137,144.3
Danforth,Village,40.820312,-87.977818,594,0.478,1242.7
Davis,Village,42.4225149,-89.4137259,589,0.405,1454.3
Bismarck,Village,40.2639253,-87.6080755,582,0.743,783.3
Irvington,Village,38.4391517,-89.1627456,581,1.01,575.2
Willisville,Village,37.9839401,-89.5895415,579,0.389,1488.4
Williamsfield,Village,40.9225373,-90.0145584,575,1.231,467.1
Vermont,Village,40.2942106,-90.4279033,570,1.258,453.1
Blandinsville,Village,40.556152,-90.8659692,569,0.875,650.3
St. Francisville,City,38.591899999999995,-87.64705451406462,568,0.745,762.4
Murrayville,Village,39.5856024,-90.2520645,567,0.496,1143.1
Godley,Village,41.2366987,-88.243672,566,1.083,522.6
